gene,source
AAAS,BCOR_KDM2B_overlap_without_H3K27me3
AACS,BCOR_KDM2B_overlap_without_H3K27me3
AAMP,BCOR_KDM2B_overlap_without_H3K27me3
AARS1,BCOR_KDM2B_overlap_without_H3K27me3
AARS2,BCOR_KDM2B_overlap_without_H3K27me3
AASDH,BCOR_KDM2B_overlap_without_H3K27me3
AATBC,BCOR_KDM2B_overlap_without_H3K27me3
ABCA17P,BCOR_KDM2B_overlap_without_H3K27me3
ABCA7,BCOR_KDM2B_overlap_without_H3K27me3
ABCB10,BCOR_KDM2B_overlap_without_H3K27me3
ABCB6,BCOR_KDM2B_overlap_without_H3K27me3
ABCC1,BCOR_KDM2B_overlap_without_H3K27me3
ABCC4,BCOR_KDM2B_overlap_without_H3K27me3
ABCD1,BCOR_KDM2B_overlap_without_H3K27me3
ABCD3,BCOR_KDM2B_overlap_without_H3K27me3
ABCF2-H2BK1,BCOR_KDM2B_overlap_without_H3K27me3
ABCF3,BCOR_KDM2B_overlap_without_H3K27me3
ABCG1,BCOR_KDM2B_overlap_without_H3K27me3
ABHD10,BCOR_KDM2B_overlap_without_H3K27me3
ABHD12,BCOR_KDM2B_overlap_without_H3K27me3
ABHD14A-ACY1,BCOR_KDM2B_overlap_without_H3K27me3
ABHD14B,BCOR_KDM2B_overlap_without_H3K27me3
ABHD17A,BCOR_KDM2B_overlap_without_H3K27me3
ABHD3,BCOR_KDM2B_overlap_without_H3K27me3
ABI2,BCOR_KDM2B_overlap_without_H3K27me3
ABLIM1,BCOR_KDM2B_overlap_without_H3K27me3
ABR,BCOR_KDM2B_overlap_without_H3K27me3
ABTB1,BCOR_KDM2B_overlap_without_H3K27me3
ACAA2,BCOR_KDM2B_overlap_without_H3K27me3
ACACA,BCOR_KDM2B_overlap_without_H3K27me3
ACAD9,BCOR_KDM2B_overlap_without_H3K27me3
ACADM,BCOR_KDM2B_overlap_without_H3K27me3
ACADS,BCOR_KDM2B_overlap_without_H3K27me3
ACAT1,BCOR_KDM2B_overlap_without_H3K27me3
ACAT2,BCOR_KDM2B_overlap_without_H3K27me3
ACBD3,BCOR_KDM2B_overlap_without_H3K27me3
ACBD3-AS1,BCOR_KDM2B_overlap_without_H3K27me3
ACBD4,BCOR_KDM2B_overlap_without_H3K27me3
ACBD5,BCOR_KDM2B_overlap_without_H3K27me3
ACE,BCOR_KDM2B_overlap_without_H3K27me3
ACER2,BCOR_KDM2B_overlap_without_H3K27me3
ACIN1,BCOR_KDM2B_overlap_without_H3K27me3
ACOT7,BCOR_KDM2B_overlap_without_H3K27me3
ACOX1,BCOR_KDM2B_overlap_without_H3K27me3
ACSF3,BCOR_KDM2B_overlap_without_H3K27me3
ACSL1,BCOR_KDM2B_overlap_without_H3K27me3
ACSL4,BCOR_KDM2B_overlap_without_H3K27me3
ACSM6,BCOR_KDM2B_overlap_without_H3K27me3
ACTB,BCOR_KDM2B_overlap_without_H3K27me3
ACTG1,BCOR_KDM2B_overlap_without_H3K27me3
ACTL10,BCOR_KDM2B_overlap_without_H3K27me3
ACTL6A,BCOR_KDM2B_overlap_without_H3K27me3
ACTN4,BCOR_KDM2B_overlap_without_H3K27me3
