"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_HYPOXIA",0.00190542407897015,0.0895549317115968,0.45505986738723,0.509810613187978,1.24328393682734,64,"NR3C1;CXCR4;BCL2;SAP30;SLC2A1;PRKCA;NEDD4L;MXI1;HK1;GAPDH;ENO1;CCNG2;PIM1;KLF6;WSB1;SLC6A6;PGM1;PAM;MYH9;GRHPR;CITED2;BTG1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00591176163697776,0.0926175989793183,0.407017918923954,0.520766082174608,1.25086312112871,51,"MYB;BCL2;SLC2A1;MYBL1;KLF10;FOXC1;AMFR;SLC37A1;SLC1A4;CHPT1;TOB1;MED13L;IGF1R;CELSR2;CBFA2T3"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00576304005991317,0.0926175989793183,0.407017918923954,0.484061692579509,1.18854484105083,74,"NFKB1;SQSTM1;TNFAIP8;KLF10;DUSP4;BIRC2;SNN;ICOSLG;TNIP1;KLF6;EGR1;DUSP2;BTG2;TUBB2A;SPSB1;RNF19B;BTG1;BCL3;YRDC;TGIF1;SLC16A6;RIPK2;RELA;REL;RCAN1;PANX1;NFKB2;NFE2L2;NFAT5"
"HALLMARK_MYC_TARGETS_V2",0.0250827208538902,0.29472197003321,0.352487857583619,0.564575691733506,1.27982847836429,24,"WDR74;HSPD1;DUSP2;PUS1;PLK1;MCM4;TBRG4;SRM;RRP9;PRMT3;PPRC1;PLK4;PA2G4;NOP2;NOP16;NOC4L;NIP7;NDUFAF4;MPHOSPH10"
"HALLMARK_NOTCH_SIGNALING",0.0729270729270729,0.321447782986245,0.163180127180689,0.631282942492747,1.28474449707199,10,"SAP30;PRKCA"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.040959040959041,0.321447782986245,0.222056046145248,0.548131492961443,1.23757962378405,23,"WARS1;TDRD7;RIPK2;NMI;NCOA7;IRF7;IL4R"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0699300699300699,0.321447782986245,0.166933848713193,0.532766469355065,1.19956274207668,22,"HAX1;TGFB1;PIM1;ITGA4;PTPN11;PTPN1;MYD88;IL6ST;IL4R;IL12RB1;IFNGR1;IFNAR1;GRB2"
"HALLMARK_TGF_BETA_SIGNALING",0.0819180819180819,0.321447782986245,0.153158808683073,0.513703774510215,1.17039122470069,26,"KLF10;SMAD1;TGFB1;SPTBN1;UBE2D3;TRIM33;SMURF1;SLC20A1;SKIL;ID3;FNTA;TGIF1;TGFBR1"
"HALLMARK_INFLAMMATORY_RESPONSE",0.0869130869130869,0.321447782986245,0.148261500475107,0.485418129805815,1.13560088884712,35,"NFKB1;ICOSLG;KLF6;BTG2;SLC7A1;PSEN1;LYN;SLC31A2;RIPK2;RHOG;RELA;RAF1;NMI;KIF1B;IRF7;IL4R;IFNAR1;HIF1A;HBEGF;GNAI3"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0549450549450549,0.321447782986245,0.190023305279108,0.46794321058559,1.12398430877037,51,"NFKB1;ARID5B;ST8SIA4;PIM1;BTG1;WARS1;TOR1B;TDRD7;SPPL2A;RIPK2;RIPK1;PTPN1;PSMB2;PSMB10;NUP93;NMI;NCOA3;MYD88;LYSMD2;IRF8;IRF7;IL4R;HIF1A"
