"gene","promoter_peak_count","total_peak_count","rank_score"
"ZFP36L1",4,7,4.007005025
"HMGB1",4,7,4.007005024
"HMGA1",4,6,4.006005023
"TCF4",4,4,4.004005022
"TBL1XR1",4,4,4.004005021
"PKM",4,4,4.00400502
"NR3C1",4,4,4.004005019
"MGAT1",4,4,4.004005018
"PTCH1",3,7,3.007005017
"MYB",3,5,3.005005016
"HNRNPF",3,5,3.005005015
"BEND3",3,5,3.005005014
"YWHAZ",3,4,3.004005013
"PARVB",3,4,3.004005012
"LZTS2",3,4,3.004005011
"LARP1",3,4,3.00400501
"GPR137",3,4,3.004005009
"ZFAND6",3,3,3.003005008
"TNK2",3,3,3.003005007
"TFEB",3,3,3.003005006
"SMC1A",3,3,3.003005005
"SLC4A2",3,3,3.003005004
"PTGES2",3,3,3.003005003
"PPOX",3,3,3.003005002
"PAICS",3,3,3.003005001
"OTUD4",3,3,3.003005
"OARD1",3,3,3.003004999
"NFKB1",3,3,3.003004998
"MPZL1",3,3,3.003004997
"ING1",3,3,3.003004996
"FBXO11",3,3,3.003004995
"DNAJB14",3,3,3.003004994
"CXCR4",3,3,3.003004993
"CNOT2",3,3,3.003004992
"CD164",3,3,3.003004991
"BICDL1",3,3,3.00300499
"ACBD5",3,3,3.003004989
"BCL2",2,10,2.010004988
"GSE1",2,9,2.009004987
"ABR",2,8,2.008004986
"CXXC5",2,6,2.006004985
"LOC102723996",2,5,2.005004984
"LIN54",2,5,2.005004983
"ZNF532",2,4,2.004004982
"TLE3",2,4,2.004004981
"STXBP5",2,4,2.00400498
"SQSTM1",2,4,2.004004979
"SEPTIN2",2,4,2.004004978
"SAP30",2,4,2.004004977
"PTPRJ",2,4,2.004004976
"PPP1R9B",2,4,2.004004975
"POU2F1",2,4,2.004004974
"PLCG2",2,4,2.004004973
"LINC-PINT",2,4,2.004004972
"ANKRD11",2,4,2.004004971
"AMD1",2,4,2.00400497
"YPEL5",2,3,2.003004969
"WDR74",2,3,2.003004968
"USP36",2,3,2.003004967
"UBE2E1",2,3,2.003004966
"TTL",2,3,2.003004965
"TNFAIP8",2,3,2.003004964
"TMTC2",2,3,2.003004963
"TJP2",2,3,2.003004962
"SYK",2,3,2.003004961
"SPECC1",2,3,2.00300496
"SP3",2,3,2.003004959
"SOX12",2,3,2.003004958
"SLC2A1",2,3,2.003004957
"SLC25A22",2,3,2.003004956
"SERINC5",2,3,2.003004955
"RPS6KA5",2,3,2.003004954
"RHOH",2,3,2.003004953
"REST",2,3,2.003004952
"RASSF3",2,3,2.003004951
"PLEKHA2",2,3,2.00300495
"PIK3CD-AS2",2,3,2.003004949
"PER2",2,3,2.003004948
"PCMTD1",2,3,2.003004947
"OGFRL1",2,3,2.003004946
"NFATC4",2,3,2.003004945
"NDUFAF6",2,3,2.003004944
"MYBL1",2,3,2.003004943
"MIR922",2,3,2.003004942
"MIDEAS",2,3,2.003004941
"MEPCE",2,3,2.00300494
"MEIS2",2,3,2.003004939
"MAD2L1BP",2,3,2.003004938
"LOC102724594",2,3,2.003004937
"LINC01678",2,3,2.003004936
"LINC00598",2,3,2.003004935
"L3MBTL3",2,3,2.003004934
"KLF10",2,3,2.003004933
"KIF2A",2,3,2.003004932
"JADE1",2,3,2.003004931
"HPCAL1",2,3,2.00300493
"FOXC1",2,3,2.003004929
"FBXO31",2,3,2.003004928
"EZH2",2,3,2.003004927
"DLEU2",2,3,2.003004926
"CYBC1",2,3,2.003004925
"CTDP1",2,3,2.003004924
"CPNE5",2,3,2.003004923
"CNOT6L",2,3,2.003004922
"CDC42EP3",2,3,2.003004921
"APOLD1",2,3,2.00300492
"ADCY3",2,3,2.003004919
"ZNF860",2,2,2.002004918
"ZNF852",2,2,2.002004917
"ZNF580",2,2,2.002004916
"ZNF518A",2,2,2.002004915
"ZFAS1",2,2,2.002004914
"ZFAND5",2,2,2.002004913
"ZFAND3",2,2,2.002004912
"ZBTB7A",2,2,2.002004911
"ZBTB18",2,2,2.00200491
"WTAP",2,2,2.002004909
"WEE1",2,2,2.002004908
"WDR53",2,2,2.002004907
"VPS26B",2,2,2.002004906
"UTP3",2,2,2.002004905
"UPF3A",2,2,2.002004904
"UNC45A",2,2,2.002004903
"UMODL1",2,2,2.002004902
"UBE2J1",2,2,2.002004901
"TUBB4B",2,2,2.0020049
"TTC21B",2,2,2.002004899
"TTC19",2,2,2.002004898
"TPM4",2,2,2.002004897
"TOX-DT",2,2,2.002004896
"TMOD2",2,2,2.002004895
"TMEM18",2,2,2.002004894
"TMCC1",2,2,2.002004893
"TLK1",2,2,2.002004892
"TLE4",2,2,2.002004891
"THUMPD3-AS1",2,2,2.00200489
"TCEA2",2,2,2.002004889
"TBX6",2,2,2.002004888
"SURF4",2,2,2.002004887
"STRADB",2,2,2.002004886
"STK26",2,2,2.002004885
"STK25",2,2,2.002004884
"ST20",2,2,2.002004883
"SORBS2",2,2,2.002004882
"SMIM27",2,2,2.002004881
"SMIM19",2,2,2.00200488
"SMC6",2,2,2.002004879
"SMAD1",2,2,2.002004878
"SLC25A39",2,2,2.002004877
"SLC25A23",2,2,2.002004876
"SLC10A7",2,2,2.002004875
"SINHCAF",2,2,2.002004874
"SH3D21",2,2,2.002004873
"SETDB2-PHF11",2,2,2.002004872
"SETD2",2,2,2.002004871
"SEPTIN7",2,2,2.00200487
"SEPTIN6",2,2,2.002004869
"SDHA",2,2,2.002004868
"SDE2",2,2,2.002004867
"SCO2",2,2,2.002004866
"SAMD1",2,2,2.002004865
"RWDD1",2,2,2.002004864
"RUNDC1",2,2,2.002004863
"RTN4",2,2,2.002004862
"RPL13",2,2,2.002004861
"RNU6-2",2,2,2.00200486
"RNF38",2,2,2.002004859
"RNF135",2,2,2.002004858
"RB1",2,2,2.002004857
"RABGEF1",2,2,2.002004856
"RAB27A",2,2,2.002004855
"PSME4",2,2,2.002004854
"PSMD2",2,2,2.002004853
"PRKCI",2,2,2.002004852
"PRKCA",2,2,2.002004851
"PPP2CA",2,2,2.00200485
"POLR3K",2,2,2.002004849
"POLR2A",2,2,2.002004848
"POLE3",2,2,2.002004847
"PMS1",2,2,2.002004846
"PLCL2",2,2,2.002004845
"PIAS2",2,2,2.002004844
"PHF3",2,2,2.002004843
"PHF11",2,2,2.002004842
"PFN1",2,2,2.002004841
"PDE8A",2,2,2.00200484
"PARP16",2,2,2.002004839
"PALS2",2,2,2.002004838
"OGFOD3",2,2,2.002004837
"NSD1",2,2,2.002004836
"NRN1",2,2,2.002004835
"NRARP",2,2,2.002004834
"NOL7",2,2,2.002004833
"NMRK1",2,2,2.002004832
"NFKBIZ",2,2,2.002004831
"NEDD4L",2,2,2.00200483
"NEAT1",2,2,2.002004829
"NDUFV3",2,2,2.002004828
"MZT1",2,2,2.002004827
"MYORG",2,2,2.002004826
"MYO1C",2,2,2.002004825
"MXI1",2,2,2.002004824
"MTCH1",2,2,2.002004823
"MPC2",2,2,2.002004822
"MFF",2,2,2.002004821
"METTL23",2,2,2.00200482
"METAP1",2,2,2.002004819
"MDM2",2,2,2.002004818
"MCTP2",2,2,2.002004817
"MAT2A",2,2,2.002004816
"MAPK1",2,2,2.002004815
"LRBA",2,2,2.002004814
"LOC730183",2,2,2.002004813
"LOC101928068",2,2,2.002004812
"LOC100652758",2,2,2.002004811
"LIMD2",2,2,2.00200481
"LCOR",2,2,2.002004809
"KLHDC2",2,2,2.002004808
"KEAP1",2,2,2.002004807
"JAZF1-AS1",2,2,2.002004806
"ITGB1BP1",2,2,2.002004805
"ISY1-RAB43",2,2,2.002004804
"IQCH-AS1",2,2,2.002004803
"INCA1",2,2,2.002004802
"IL10RB-DT",2,2,2.002004801
"IGF2R",2,2,2.0020048
"IFRD2",2,2,2.002004799
"IDE",2,2,2.002004798
"HSPD1",2,2,2.002004797
"HSPA4",2,2,2.002004796
"HSP90AB1",2,2,2.002004795
"HP1BP3",2,2,2.002004794
"HNRNPR",2,2,2.002004793
"HMGN4",2,2,2.002004792
"HK1",2,2,2.002004791
"HGSNAT",2,2,2.00200479
"HELZ",2,2,2.002004789
"HAX1",2,2,2.002004788
"H2AZ1",2,2,2.002004787
"GPX4",2,2,2.002004786
"GNAS",2,2,2.002004785
"GLUD1",2,2,2.002004784
"GBA1",2,2,2.002004783
"GATD1",2,2,2.002004782
"GAPDH",2,2,2.002004781
"GALNT2",2,2,2.00200478
"FUT8",2,2,2.002004779
"FUS",2,2,2.002004778
"FOXN3",2,2,2.002004777
"FBXW7",2,2,2.002004776
"FBXO34",2,2,2.002004775
"FBXL8",2,2,2.002004774
"FAM13B-AS1",2,2,2.002004773
"FAM118A",2,2,2.002004772
"EZR",2,2,2.002004771
"ETNK1",2,2,2.00200477
"EPM2A-DT",2,2,2.002004769
"ENO1",2,2,2.002004768
"EIF5",2,2,2.002004767
"EIF4H",2,2,2.002004766
"EIF4ENIF1",2,2,2.002004765
"EHD4",2,2,2.002004764
"E2F7",2,2,2.002004763
"E2F5",2,2,2.002004762
"DUSP7",2,2,2.002004761
"DUSP4",2,2,2.00200476
"DISP3",2,2,2.002004759
"DCAF11",2,2,2.002004758
"CPSF7",2,2,2.002004757
"CORO7",2,2,2.002004756
"COQ8A",2,2,2.002004755
"COPS7B",2,2,2.002004754
"COPS4",2,2,2.002004753
"CNPY2",2,2,2.002004752
"CNPPD1",2,2,2.002004751
"CNOT9",2,2,2.00200475
"CKAP5",2,2,2.002004749
"CIZ1",2,2,2.002004748
"CIPC",2,2,2.002004747
"CFAP97",2,2,2.002004746
"CERT1",2,2,2.002004745
"CENPU",2,2,2.002004744
"CELF2",2,2,2.002004743
"CDC26",2,2,2.002004742
"CDC25A",2,2,2.002004741
"CASK",2,2,2.00200474
"CAMKMT",2,2,2.002004739
