PeakID (cmd=annotatePeaks.pl results/overlaps/bcor_kdm2b_overlap_without_h3k27me3.bed hg18)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
BCOR_KDM2B_common_region-623	chr1	229443539	229443746	+	.	NA	promoter-TSS (NM_014236)	NA	61	NM_014236	8443		NM_014236	ENSG00000116906	GNPAT	DAP-AT|DAPAT|DHAPAT|RCDP2	glyceronephosphate O-acyltransferase	protein-coding
BCOR_KDM2B_common_region-3679	chr2	136459712	136459800	+	.	NA	promoter-TSS (NM_001293312)	NA	-32	NM_001293312	1615		NM_001349	ENSG00000115866	DARS1	DARS|HBSL|aspRS	aspartyl-tRNA synthetase 1	protein-coding
BCOR_KDM2B_common_region-4230	chr22	44084059	44084233	+	.	NA	promoter-TSS (NM_017911)	NA	-237	NM_001349916	55007		NM_017911	ENSG00000100376	FAM118A	C22orf8	family with sequence similarity 118 member A	protein-coding
BCOR_KDM2B_common_region-1106	chr11	61490775	61491275	+	.	NA	intron (NM_002032, intron 1 of 3)	NA	657	NM_002032	2495		NM_002032	ENSG00000167996	FTH1	FHC|FTH|FTHL6|HFE5|NBIA9|PIG15|PLIF	ferritin heavy chain 1	protein-coding
BCOR_KDM2B_common_region-1061	chr11	46097675	46097968	+	.	NA	intron (NM_001352028, intron 1 of 18)	NA	1125	NM_001352028	51317		NM_016621	ENSG00000135365	PHF21A	BHC80|BM-006|IDDBCS|NEDMS	PHD finger protein 21A	protein-coding
BCOR_KDM2B_common_region-832	chr10	89409468	89409715	+	.	NA	promoter-TSS (NM_004670)	NA	-24	NM_004670	9060		NM_004670	ENSG00000198682	PAPSS2	ATPSK2|BCYM4|SK2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	protein-coding
BCOR_KDM2B_common_region-5277	chr5	179267313	179267494	+	.	NA	promoter-TSS (NM_198868)	NA	100	NM_198868	23061		NM_015043	ENSG00000197226	TBC1D9B	GRAMD9B	TBC1 domain family member 9B	protein-coding
BCOR_KDM2B_common_region-3558	chr2	74258964	74259571	+	.	NA	promoter-TSS (NM_001317111)	NA	247	NM_001317112	55233		NM_018221	ENSG00000114978	MOB1A	C2orf6|MABKL1B|MATS1|MOB1|MOBK1B|MOBKL1B|Mob4B	MOB kinase activator 1A	protein-coding
BCOR_KDM2B_common_region-6656	chrX	118654562	118654673	+	.	NA	intron (NM_145800, intron 7 of 10)	NA	10222	NR_030413	768218		NR_030413	ENSG00000211578	MIR766	MIRN766|hsa-mir-766|mir-766	microRNA 766	ncRNA
BCOR_KDM2B_common_region-366	chr1	108903998	108904346	+	.	NA	promoter-TSS (NM_001010883)	NA	-73	NM_001010883	284611		NM_001010883	ENSG00000162636	EEIG2	FAM102B|SYM-3B	EEIG family member 2	protein-coding
BCOR_KDM2B_common_region-6537	chr9	135923225	135923436	+	.	NA	promoter-TSS (NM_007371)	NA	-361	NM_007371	8019		NM_007371	ENSG00000169925	BRD3	FSHRG2|ORFX|RING3L	bromodomain containing 3	protein-coding
BCOR_KDM2B_common_region-3335	chr2	8292407	8292685	+	.	NA	intron (NR_152741, intron 9 of 9)	NA	93454	NR_034135	339789		NR_034135	ENSG00000236790	LINC00299	C2orf46|NCRNA00299	long intergenic non-protein coding RNA 299	ncRNA
BCOR_KDM2B_common_region-4363	chr3	47841352	47841604	+	.	NA	intron (NM_014966, intron 5 of 22)	NA	21846	NM_138615	22907		NM_014966	ENSG00000132153	DHX30	DDX30|NEDMIAL|RETCOR	DExH-box helicase 30	protein-coding
BCOR_KDM2B_common_region-3850	chr2	232359205	232359498	+	.	NA	promoter-TSS (NM_022730)	NA	14	NM_001282952	64708		NM_022730	ENSG00000144524	COPS7B	CSN7B|SGN7b	COP9 signalosome subunit 7B	protein-coding
