PeakID (cmd=annotatePeaks.pl results/tmp/normalized_peaks/BCOR_LY1_hg18.bed hg18)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
BCOR_peak_11656	chr15	39021283	39021439	+	.	NA	Intergenic	NA	-11600	NM_024111	79094		NM_024111	ENSG00000128965	CHAC1	-	ChaC glutathione specific gamma-glutamylcyclotransferase 1	protein-coding
BCOR_peak_8795	chr2	239855236	239855438	+	.	NA	intron (NM_001378414, intron 2 of 26)	NA	-36757	NR_036229	100423043		NR_036229	ENSG00000265215	MIR4269	-	microRNA 4269	ncRNA
BCOR_peak_12144	chr15	97834687	97834926	+	.	NA	Intergenic	NA	-88339	NM_001352617	4205		NM_005587	ENSG00000068305	MEF2A	ADCAD1|RSRFC4|RSRFC9|mef2	myocyte enhancer factor 2A	protein-coding
BCOR_peak_1032	chr8	8767027	8767177	+	.	NA	intron (NM_004225, intron 1 of 2)	NA	21448	NM_004225	9258		NM_004225	ENSG00000147324	MFHAS1	LRRC65|MASL1|ROCO4	multifunctional ROCO family signaling regulator 1	protein-coding
BCOR_peak_2574	chr7	128166337	128166507	+	.	NA	promoter-TSS (NM_001130674)	NA	-227	NR_074086	813		NM_001219	ENSG00000128595	CALU	-	calumenin	protein-coding
BCOR_peak_11680	chr15	40628154	40628377	+	.	NA	promoter-TSS (NM_001323630)	NA	18	NM_153260	255252		NM_153260	ENSG00000180979	LRRC57	-	leucine rich repeat containing 57	protein-coding
BCOR_peak_1208	chr8	60181769	60181909	+	.	NA	intron (NM_014729, intron 1 of 8)	NA	12421	NM_014729	9760		NM_014729	ENSG00000198846	TOX	TOX1	thymocyte selection associated high mobility group box	protein-coding
BCOR_peak_10704	chr17	74348756	74349034	+	.	NA	promoter-TSS (NM_001385169)	NA	221	NM_001385176	57602		NM_025090	ENSG00000055483	USP36	DUB1	ubiquitin specific peptidase 36	protein-coding
BCOR_peak_16299	chr1	26699305	26700040	+	.	NA	Intergenic	NA	28154	NM_005517	3151		NM_005517	ENSG00000198830	HMGN2	HMG17	high mobility group nucleosomal binding domain 2	protein-coding
BCOR_peak_4965	chr4	57469568	57470366	+	.	NA	5' UTR (NM_001363453, exon 1 of 4)	NA	131	NM_001193508	5978		NM_005612	ENSG00000084093	REST	DFNA27|GINGF5|HGF5|NRSF|WT6|XBR	RE1 silencing transcription factor	protein-coding
BCOR_peak_3057	chr6	15362418	15363009	+	.	NA	intron (NM_001267040, intron 1 of 17)	NA	5648	NM_001267040	3720		NM_004973	ENSG00000008083	JARID2	DIDDF|JMJ	jumonji and AT-rich interaction domain containing 2	protein-coding
BCOR_peak_10111	chr17	17680204	17681053	+	.	NA	intron (NM_001005291, intron 1 of 19)	NA	397	NM_001005291	6720		NM_004176	ENSG00000072310	SREBF1	HMD|IFAP2|SREBP1|bHLHd1	sterol regulatory element binding transcription factor 1	protein-coding
BCOR_peak_5317	chr4	170770083	170770375	+	.	NA	promoter-TSS (NM_001374423)	NA	80	NM_001374418	4750		NM_012224	ENSG00000137601	NEK1	ALS24|NY-REN-55|OFD2|SRPS2|SRPS2A|SRTD6	NIMA related kinase 1	protein-coding
BCOR_peak_13875	chr12	91363250	91363486	+	.	NA	Intergenic	NA	-12462	NR_144319	574016		NM_001025232	ENSG00000205057	CLLU1-AS1	CLLU1OS	CLLU1 antisense RNA 1	ncRNA
BCOR_peak_8260	chr2	122210582	122210704	+	.	NA	intron (NM_032390, intron 1 of 6)	NA	278	NM_032390	84365		NM_032390	ENSG00000155438	NIFK	MKI67IP|Nopp34	nucleolar protein interacting with the FHA domain of MKI67	protein-coding
BCOR_peak_1130	chr8	42027514	42028064	+	.	NA	promoter-TSS (NR_136589)	NA	-636	NR_136589	105379393		NR_136589		KAT6A-AS1	-	KAT6A antisense RNA 1	ncRNA
BCOR_peak_13863	chr12	87059998	87060317	+	.	NA	promoter-TSS (NM_181783)	NA	-58	NM_001366583	160418		NM_181783	ENSG00000139324	TMTC3	LIS8|SMILE	transmembrane O-mannosyltransferase targeting cadherins 3	protein-coding
BCOR_peak_7069	chr21	44403063	44403222	+	.	NA	TTS (NR_146631)	NA	1031	NR_146631	105377138		NR_146631		LINC01678	-	long intergenic non-protein coding RNA 1678	ncRNA
BCOR_peak_559	chr9	92766446	92766688	+	.	NA	Intergenic	NA	110668	NR_033912	100129316		NR_033912		LOC100129316	-	uncharacterized LOC100129316	ncRNA
BCOR_peak_6025	chr3	139795679	139796338	+	.	NA	promoter-TSS (NM_001288967)	NA	-93	NM_001288966	80321		NM_024491	ENSG00000114107	CEP70	BITE	centrosomal protein 70	protein-coding
BCOR_peak_1158	chr8	48335817	48335993	+	.	NA	promoter-TSS (NM_001352935)	NA	-118	NM_001352944	23514		NM_001080394	ENSG00000164808	SPIDR	KIAA0146|ODG9	scaffold protein involved in DNA repair	protein-coding
